id_campana,fecha,marca,vertical,pais,influencer,tier,plataforma,tipo_contenido,seguidores,fee_influencer_usd,costo_produccion_usd,paid_boost_usd,costo_total_usd,views,reach,likes,comments,shares,saves,link_clicks,conversiones,ingresos_usd,sentimiento_score
UGC-0019,2025-02-20,BeatKitchen,Home,AR,MimoStudio,nano,Instagram,Tutorial,6074,226.47,104.4,270.59,601.46,1200,869,100,29,13,29,35,5,352.81,0.785
UGC-0020,2025-02-21,CasaZen,Fitness,CL,SofiLab,macro,Instagram,Review,1156203,4556.74,30.22,313.67,4900.62,276179,224793,11084,2534,1473,1506,12577,800,46903.05,0.529
UGC-0021,2025-02-22,NovaSkin,Beauty,AR,KikeLab,micro,TikTok,UGC_Paid,38194,691.53,157.16,421.65,1270.35,7710,5849,533,116,135,159,237,18,216.26,0.909
UGC-0022,2025-02-23,GlowTech,Fitness,CO,KikeLab,micro,Instagram,UGC_Organic,119307,468.25,204.33,488.72,1161.3,30398,23782,1248,189,223,183,1282,124,4059.99,0.822
UGC-0023,2025-02-24,CasaZen,Beauty,CL,DaniUX,micro,TikTok,UGC_Organic,54639,899.89,144.44,424.59,1468.92,22994,16640,2261,339,200,567,232,30,1507.92,0.769
UGC-0024,2025-02-25,BeatKitchen,Tech,MX,DaniUX,micro,YouTube Shorts,Review,77653,931.16,118.47,564.1,1613.72,23404,17075,1527,292,173,481,461,81,5326.44,0.838
UGC-0025,2025-02-26,NovaSkin,Food,CO,AnaCrea,micro,Instagram,UGC_Paid,60373,959.07,72.88,1147.46,2179.4,8898,7766,304,85,62,59,74,10,841.88,0.728
UGC-0026,2025-02-27,GlowTech,Tech,CL,NicoFlow,micro,TikTok,Tutorial,98462,953.09,150.09,38.09,1141.26,41452,36206,567,98,86,102,1639,280,11713.81,0.88
UGC-0027,2025-02-28,GlowTech,Food,CO,CataReels,nano,Instagram,UGC_Organic,14160,190.93,134.4,371.18,696.51,9268,7477,1326,172,236,325,81,7,516.75,0.842
UGC-0028,2025-03-01,BeatKitchen,Beauty,CO,CataReels,nano,TikTok,UGC_Organic,12645,101.38,193.01,116.13,410.52,5168,3656,486,62,92,114,125,19,594.2,0.888
UGC-0029,2025-03-02,CasaZen,Food,MX,NicoFlow,micro,Instagram,UGC_Paid,42493,1037.81,64.14,1280.37,2382.32,9542,6383,614,120,113,94,198,22,1861.67,0.829
UGC-0030,2025-03-03,NovaSkin,Beauty,PE,JotaMedia,mid,Instagram,Tutorial,353746,3294.2,58.13,125.17,3477.5,155169,117852,3461,977,730,914,3612,139,10051.17,0.98
UGC-0031,2025-03-04,UrbanFit,Home,PE,DaniUX,micro,YouTube Shorts,UGC_Paid,106565,1092.62,134.65,754.8,1982.07,46058,31360,3507,468,509,719,2291,245,14017.74,0.704
UGC-0032,2025-03-05,BeatKitchen,Food,CL,ValeTrend,mid,Instagram,Challenge,373503,2485.49,139.49,307.14,2932.12,60564,45334,2521,357,463,340,1237,154,8759.05,0.917
UGC-0033,2025-03-06,UrbanFit,Food,AR,SofiLab,macro,TikTok,Review,1760371,6772.55,40.06,237.67,7050.29,695070,576413,12494,2699,2409,2617,30632,4450,115796.9,0.561
UGC-0034,2025-03-07,GlowTech,Home,PE,ValeTrend,mid,YouTube Shorts,Challenge,423913,3801.63,211.68,474.92,4488.23,154917,136288,2838,616,444,628,6192,70,4838.46,0.685
UGC-0035,2025-03-08,CasaZen,Home,PE,KikeLab,micro,TikTok,UGC_Paid,65347,987.83,22.4,290.82,1301.05,11493,8822,727,187,171,97,258,28,606.71,0.717
UGC-0036,2025-03-09,CasaZen,Tech,PE,RafaVids,mid,Instagram,UGC_Organic,318444,1693.85,145.29,510.88,2350.02,160577,122113,9862,2404,1674,1714,2001,174,9461.36,0.807
UGC-0037,2025-03-10,NovaSkin,Beauty,PE,LunaPixel,nano,Instagram,Review,9341,224.96,246.69,593.12,1064.77,3372,2739,365,66,52,93,172,3,63.19,0.615
UGC-0038,2025-03-11,CasaZen,Beauty,AR,MimoStudio,nano,TikTok,Challenge,16026,284.62,221.73,542.25,1048.6,2078,1895,82,19,17,13,11,1,23.31,0.789
UGC-0039,2025-03-12,NovaSkin,Food,CL,RafaVids,mid,TikTok,UGC_Paid,272383,2649.15,37.05,87.69,2773.89,29671,21773,1110,258,156,207,509,30,2364.16,0.842
UGC-0040,2025-03-13,UrbanFit,Beauty,AR,DaniUX,micro,Instagram,UGC_Organic,77679,550.04,32.56,567.9,1150.49,30502,28921,3273,964,493,941,569,17,871.83,0.763
UGC-0041,2025-03-14,NovaSkin,Food,MX,DaniUX,micro,TikTok,UGC_Organic,43306,753.32,158.95,533.59,3470.06,14779,13244,1721,268,338,345,458,21,1932.57,0.792
UGC-0042,2025-03-15,NovaSkin,Fitness,CO,JotaMedia,mid,TikTok,UGC_Organic,212029,1824.04,220.36,336.6,2381.0,70572,55087,2958,442,504,457,2212,249,16255.5,0.845
UGC-0043,2025-03-16,NovaSkin,Tech,PE,AnaCrea,micro,Instagram,Tutorial,54117,326.39,166.09,335.61,828.08,19201,18097,874,212,134,173,810,95,2930.66,0.62
UGC-0044,2025-03-17,NovaSkin,Home,AR,MimoStudio,nano,TikTok,UGC_Organic,11276,172.44,154.2,264.58,591.22,1715,1420,85,21,13,13,19,1,84.96,0.642
UGC-0045,2025-03-18,NovaSkin,Food,MX,AnaCrea,micro,Instagram,UGC_Organic,36816,624.73,41.04,305.01,970.77,25181,17465,2138,503,454,466,1063,112,4655.28,0.774
UGC-0046,2025-03-19,BeatKitchen,Food,AR,NicoFlow,micro,Instagram,Challenge,45670,418.96,232.02,7.76,658.74,18909,13249,1581,211,222,405,332,57,3994.95,0.718
UGC-0047,2025-03-20,UrbanFit,Tech,CL,AnaCrea,micro,Instagram,UGC_Paid,103298,666.54,112.0,633.35,1411.89,56000,46447,1506,295,363,383,1877,50,2412.04,0.76
UGC-0048,2025-03-21,NovaSkin,Beauty,MX,LunaPixel,nano,Instagram,UGC_Paid,13008,163.57,175.34,800.87,1139.79,4310,3092,296,73,35,77,102,6,170.19,0.836
UGC-0049,2025-03-22,BeatKitchen,Beauty,PE,SofiLab,macro,Instagram,UGC_Organic,1469969,10838.67,48.58,94.69,10981.94,505094,454345,20096,3516,2167,5688,9096,165,12259.58,0.827
UGC-0050,2025-03-23,CasaZen,Food,AR,LunaPixel,nano,TikTok,Review,10974,285.28,139.47,69.82,494.57,4361,3958,113,29,28,30,122,9,258.44,0.493
UGC-0051,2025-03-24,GlowTech,Beauty,MX,CataReels,nano,Instagram,Review,17685,311.41,137.15,217.15,665.71,2206,1540,193,52,44,56,84,4,330.69,0.869
UGC-0052,2025-03-25,UrbanFit,Home,PE,DaniUX,micro,TikTok,Review,42430,553.02,216.96,584.44,1354.42,13121,10872,1335,346,202,183,597,17,1142.62,0.674
UGC-0053,2025-03-26,UrbanFit,Tech,MX,AnaCrea,micro,YouTube Shorts,UGC_Paid,89402,458.59,20.65,655.34,1134.58,44646,30486,1321,244,377,388,730,88,7209.55,0.743
UGC-0054,2025-03-27,GlowTech,Fitness,CL,CataReels,nano,YouTube Shorts,UGC_Organic,7349,335.07,236.77,442.44,1014.28,3749,3370,318,95,91,50,131,5,264.92,0.784
UGC-0055,2025-03-28,BeatKitchen,Food,CO,DaniUX,micro,TikTok,Review,84188,900.76,154.24,40.65,1095.65,49316,38670,3553,719,701,643,2690,316,4236.36,0.738
UGC-0056,2025-03-29,NovaSkin,Fitness,PE,AnaCrea,micro,Instagram,Challenge,82306,768.7,210.12,519.36,1498.19,42791,36548,4098,884,572,764,745,16,679.14,0.534
UGC-0057,2025-03-30,UrbanFit,Food,PE,KikeLab,micro,Instagram,UGC_Organic,31619,709.08,214.73,147.22,1071.03,17875,15489,702,116,145,175,133,7,374.3,0.804
UGC-0058,2025-03-31,CasaZen,Fitness,PE,JotaMedia,mid,TikTok,Review,364993,2957.49,56.41,2.42,3016.32,161335,147209,2087,604,401,415,7015,259,3096.92,0.774
UGC-0059,2025-04-01,BeatKitchen,Fitness,PE,CataReels,nano,TikTok,Tutorial,11971,123.82,49.16,336.86,509.84,5074,4183,136,17,29,29,159,32,781.87,0.755
UGC-0060,2025-04-02,NovaSkin,Home,CO,SofiLab,macro,YouTube Shorts,Challenge,765644,10120.06,122.89,212.34,10455.3,120990,89529,9097,1827,1832,1319,3592,189,6827.27,0.77
UGC-0061,2025-04-03,CasaZen,Fitness,PE,JotaMedia,mid,YouTube Shorts,UGC_Organic,354995,4162.63,118.43,413.03,4694.09,43303,29790,2791,351,732,453,306,19,537.29,0.877
UGC-0062,2025-04-04,UrbanFit,Tech,CO,DaniUX,micro,Instagram,UGC_Paid,39280,797.63,21.12,490.24,1308.98,11567,10143,892,119,213,176,268,20,732.72,0.665
UGC-0063,2025-04-05,GlowTech,Food,CO,MaraCreator,macro,TikTok,UGC_Organic,879246,7134.31,180.57,177.14,7492.02,340154,270315,32513,6167,5645,4309,16450,613,18766.26,0.917
UGC-0064,2025-04-06,NovaSkin,Beauty,CO,AnaCrea,micro,TikTok,Tutorial,62929,397.38,82.19,353.9,833.47,48165,31655,1494,383,247,286,1296,26,594.07,0.656
UGC-0065,2025-04-07,BeatKitchen,Tech,CL,SofiLab,macro,TikTok,Review,1576420,3780.69,76.9,49.98,3907.57,297560,215627,19682,4056,4544,2837,14008,1648,33833.79,0.79
UGC-0066,2025-04-08,UrbanFit,Tech,MX,DaniUX,micro,TikTok,UGC_Organic,23347,535.67,38.75,305.47,879.88,9855,6542,359,97,65,77,284,31,839.0,0.646
UGC-0067,2025-04-09,CasaZen,Beauty,AR,MaraCreator,macro,TikTok,Tutorial,1431308,11686.71,157.96,547.42,12392.09,432606,394350,6737,1138,1347,1206,7427,996,50499.91,0.813
UGC-0068,2025-04-10,GlowTech,Beauty,CL,SofiLab,macro,Instagram,Challenge,1721079,4676.68,199.46,289.65,5165.79,522605,491861,24278,4560,3356,5258,8251,1111,46879.95,0.98
UGC-0069,2025-04-11,CasaZen,Tech,CL,AnaCrea,micro,TikTok,Tutorial,63563,1153.75,154.9,169.48,1478.12,30619,24275,687,101,123,163,282,10,210.94,0.851
UGC-0070,2025-04-12,UrbanFit,Home,CL,SofiLab,macro,TikTok,UGC_Organic,1198898,4806.31,139.38,71.42,5017.11,267355,217542,18404,2379,3722,2692,7304,229,11293.94,0.837
UGC-0071,2025-04-13,UrbanFit,Tech,CO,KikeLab,micro,TikTok,Tutorial,25638,410.61,84.46,535.25,1030.31,8426,5864,603,131,116,160,426,57,3516.75,0.949
UGC-0072,2025-04-14,NovaSkin,Fitness,CO,DaniUX,micro,Instagram,UGC_Organic,97511,510.14,228.54,113.07,851.76,10673,8831,197,51,29,49,239,42,694.56,0.608
UGC-0073,2025-04-15,BeatKitchen,Home,AR,LunaPixel,nano,TikTok,Challenge,19215,286.68,249.9,94.98,631.57,2775,2439,95,13,24,27,80,12,1097.9,0.624
UGC-0074,2025-04-16,GlowTech,Food,PE,KikeLab,micro,TikTok,Tutorial,94960,486.72,130.7,152.82,770.23,47529,39359,1555,299,296,420,1671,155,5004.51,0.545
UGC-0075,2025-04-17,BeatKitchen,Tech,CL,MaraCreator,macro,TikTok,UGC_Paid,866899,8854.84,82.21,591.06,9528.1,414803,296454,19532,3264,3995,6037,5483,738,34546.7,0.705
UGC-0076,2025-04-18,NovaSkin,Home,CL,KikeLab,micro,TikTok,Challenge,77211,999.83,100.36,170.99,1271.18,31068,27113,1297,141,134,328,836,121,3470.93,0.763
UGC-0077,2025-04-19,CasaZen,Home,MX,RafaVids,mid,TikTok,UGC_Organic,121656,2987.86,193.56,454.3,3635.72,40136,38031,4267,603,782,790,1179,21,659.53,0.837
UGC-0078,2025-04-20,BeatKitchen,Beauty,CO,NicoFlow,micro,Instagram,Tutorial,36937,475.74,196.34,49.11,721.2,12293,8210,269,29,44,67,490,36,2026.78,0.718
UGC-0079,2025-04-21,UrbanFit,Beauty,AR,MimoStudio,nano,Instagram,Review,17884,118.25,21.86,394.15,534.26,7477,6062,640,77,115,109,52,7,498.64,0.636
UGC-0080,2025-04-22,GlowTech,Beauty,CL,KikeLab,micro,Instagram,Tutorial,45339,727.69,149.75,280.45,1157.9,18674,14202,509,119,120,88,489,87,2254.53,0.675
UGC-0081,2025-04-23,CasaZen,Fitness,CL,AnaCrea,micro,YouTube Shorts,Challenge,116906,740.66,232.29,54.28,1027.24,15865,11214,938,136,248,173,469,25,1257.92,0.78
UGC-0082,2025-04-24,CasaZen,Food,MX,KikeLab,micro,YouTube Shorts,Review,24921,690.11,57.85,182.79,930.75,8743,7893,855,208,94,132,468,61,4611.88,0.789
UGC-0083,2025-04-25,GlowTech,Fitness,MX,RafaVids,mid,Instagram,Review,321747,3787.15,212.52,554.79,4554.46,143868,132077,10954,1739,2762,2337,4805,346,10425.83,0.705
UGC-0084,2025-04-26,NovaSkin,Beauty,AR,ValeTrend,mid,Instagram,Challenge,287956,1461.74,62.62,4.77,1529.14,51615,45533,6746,1384,1097,798,508,74,6442.4,0.854
UGC-0085,2025-04-27,NovaSkin,Tech,CL,NicoFlow,micro,TikTok,UGC_Organic,86572,870.35,91.08,111.4,1072.83,37427,33096,877,202,173,105,1328,139,8523.28,0.711
UGC-0086,2025-04-28,NovaSkin,Tech,CO,ValeTrend,mid,Instagram,UGC_Organic,167686,3641.8,182.14,351.58,4175.52,69575,52317,2587,424,375,374,2246,35,527.31,0.771
UGC-0087,2025-04-29,NovaSkin,Tech,CL,NicoFlow,micro,TikTok,Review,103985,1190.48,215.84,499.4,1905.72,78374,73071,3987,556,1148,1134,1759,144,9964.55,0.628
UGC-0088,2025-04-30,CasaZen,Food,PE,RafaVids,mid,TikTok,Tutorial,262180,3107.85,127.81,457.78,3693.43,59607,41589,2788,755,467,802,1501,137,8052.66,0.691
UGC-0089,2025-05-01,NovaSkin,Food,CO,LunaPixel,nano,Instagram,UGC_Paid,19016,170.38,105.25,496.66,772.29,2056,1668,186,41,29,38,30,1,16.17,0.741
UGC-0090,2025-05-02,NovaSkin,Beauty,MX,SofiLab,macro,TikTok,UGC_Organic,1315710,11807.12,203.59,587.76,12598.47,611190,456809,32030,5345,6613,5992,11090,778,63712.0,0.494
UGC-0091,2025-05-03,NovaSkin,Tech,MX,NicoFlow,micro,Instagram,Review,100857,1027.69,107.6,122.23,1257.52,28488,25269,827,164,103,200,533,45,1254.92,0.67
UGC-0092,2025-05-04,NovaSkin,Food,PE,MaraCreator,macro,YouTube Shorts,Review,960421,9347.2,164.62,100.86,9612.68,69481,46307,4021,880,562,847,1930,23,327.09,0.832
UGC-0093,2025-05-05,UrbanFit,Fitness,CO,DaniUX,micro,YouTube Shorts,Challenge,94716,1182.92,98.3,163.71,1444.92,29126,21271,1116,280,123,235,250,24,2164.81,0.98
UGC-0094,2025-05-06,CasaZen,Food,PE,MaraCreator,macro,YouTube Shorts,UGC_Organic,527807,6124.0,141.6,135.81,6401.41,95203,66089,6682,1663,1767,1751,612,65,1510.46,0.657
UGC-0095,2025-05-07,BeatKitchen,Beauty,PE,KikeLab,micro,Instagram,UGC_Organic,84998,785.44,165.18,200.35,1150.97,17359,14876,1365,327,314,340,121,17,1305.68,0.7
UGC-0096,2025-05-08,NovaSkin,Tech,MX,LunaPixel,nano,TikTok,UGC_Organic,17850,323.42,55.44,365.15,744.01,5904,5215,786,169,128,196,72,9,250.43,0.83
UGC-0097,2025-05-09,GlowTech,Home,AR,LunaPixel,nano,YouTube Shorts,Tutorial,8663,142.82,133.17,11.17,287.15,2302,1954,94,17,25,17,50,6,390.05,0.847
UGC-0098,2025-05-10,UrbanFit,Fitness,AR,MimoStudio,nano,Instagram,Tutorial,19969,288.16,125.69,270.54,684.39,4602,3123,246,54,52,46,113,24,1986.33,0.644
UGC-0099,2025-05-11,CasaZen,Food,AR,SofiLab,macro,Instagram,UGC_Paid,1753984,7887.24,50.04,422.88,8360.16,897471,677235,37894,7781,4538,5453,18913,1121,51066.01,0.98
UGC-0100,2025-05-12,UrbanFit,Beauty,CL,MaraCreator,macro,TikTok,Challenge,1221711,5414.04,211.75,341.32,5967.11,632081,492888,43706,4589,7709,6804,3211,475,32892.64,0.821
UGC-0101,2025-05-13,UrbanFit,Food,CL,JotaMedia,mid,Instagram,Challenge,347219,2402.92,22.98,214.67,2640.56,86435,58514,4208,1038,1101,992,2445,222,2933.67,0.807
UGC-0102,2025-05-14,NovaSkin,Fitness,CL,MimoStudio,nano,TikTok,Tutorial,13884,108.64,97.39,504.94,710.97,6571,5317,124,36,32,26,288,40,2931.16,0.647
UGC-0103,2025-05-15,NovaSkin,Home,CL,NicoFlow,micro,Instagram,Review,97684,566.36,86.07,559.66,1212.09,41588,38001,975,185,266,312,1915,285,15989.01,0.544
UGC-0104,2025-05-16,BeatKitchen,Beauty,AR,KikeLab,micro,TikTok,Review,113625,492.95,218.7,130.31,841.97,64993,49616,6519,1662,1217,1187,1091,221,6058.33,0.798
UGC-0105,2025-05-17,CasaZen,Home,CL,RafaVids,mid,TikTok,UGC_Paid,352415,1900.66,138.87,38.71,2078.24,195548,173967,3747,1005,691,648,3085,214,10292.47,0.611
UGC-0106,2025-05-18,UrbanFit,Food,MX,SofiLab,macro,YouTube Shorts,Tutorial,1652552,7796.92,115.5,501.81,8414.23,155075,107783,9438,1715,2600,1493,1328,186,4898.98,0.886
UGC-0107,2025-05-19,CasaZen,Tech,CO,ValeTrend,mid,Instagram,Tutorial,358685,3906.31,154.2,194.72,4255.24,64974,43736,7344,1409,1443,1308,479,52,3652.91,0.89
UGC-0108,2025-05-20,CasaZen,Beauty,CO,DaniUX,micro,TikTok,Tutorial,96519,736.51,52.57,421.77,1210.85,48151,33403,1050,169,157,241,1681,162,13444.5,0.586
UGC-0109,2025-05-21,UrbanFit,Food,CO,MimoStudio,nano,TikTok,UGC_Organic,11731,324.9,87.35,69.62,481.87,6130,4003,676,111,131,101,170,24,1732.13,0.789
UGC-0110,2025-05-22,NovaSkin,Food,AR,MaraCreator,macro,TikTok,UGC_Paid,693945,6736.97,83.24,1191.59,8011.8,327536,272042,5276,816,612,1031,5336,710,53504.87,0.728
UGC-0111,2025-05-23,CasaZen,Food,CL,JotaMedia,mid,TikTok,Review,126848,2508.34,51.5,117.37,2677.21,26599,21386,346,90,58,60,622,84,1479.54,0.748
UGC-0112,2025-05-24,UrbanFit,Home,AR,RafaVids,mid,YouTube Shorts,UGC_Organic,398073,2887.41,44.18,70.48,3002.06,27929,24552,3706,809,651,713,253,42,2629.67,0.904
UGC-0113,2025-05-25,BeatKitchen,Tech,CL,NicoFlow,micro,Instagram,UGC_Organic,60870,315.66,34.9,212.47,563.03,32227,22188,3655,884,672,1070,695,12,853.45,0.825
UGC-0114,2025-05-26,UrbanFit,Fitness,CL,CataReels,nano,Instagram,Challenge,9467,169.49,241.12,349.89,760.51,3069,2868,92,10,17,22,62,7,111.96,0.758
UGC-0115,2025-05-27,GlowTech,Home,MX,DaniUX,micro,Instagram,UGC_Paid,58984,1120.66,205.47,96.85,1422.98,16059,11372,563,142,127,128,401,27,310.79,0.98
UGC-0116,2025-05-28,UrbanFit,Tech,AR,JotaMedia,mid,TikTok,UGC_Organic,329599,2957.39,170.65,62.02,3190.06,76480,54336,6254,1422,1713,1562,3753,198,14666.49,0.683
UGC-0117,2025-05-29,GlowTech,Food,CL,ValeTrend,mid,TikTok,Review,322361,2152.21,124.35,204.12,2480.68,56282,36995,3498,650,347,471,1953,244,17170.19,0.727
UGC-0118,2025-05-30,UrbanFit,Beauty,AR,SofiLab,macro,Instagram,Tutorial,573370,4378.46,22.42,554.87,11893.82,68499,52728,2883,446,333,571,2110,112,3314.23,0.962
UGC-0119,2025-05-31,GlowTech,Food,PE,AnaCrea,micro,Instagram,Challenge,22746,1091.23,86.08,147.9,1325.21,11883,10102,772,157,153,148,499,84,6020.57,0.796
UGC-0120,2025-06-01,BeatKitchen,Food,PE,NicoFlow,micro,YouTube Shorts,UGC_Organic,59257,515.77,75.93,572.01,1163.71,18853,13239,1207,290,247,210,570,91,1689.57,0.731
UGC-0121,2025-06-02,CasaZen,Beauty,CL,DaniUX,micro,Instagram,Tutorial,109087,334.27,212.92,313.81,860.99,41044,30360,522,126,87,120,633,138,6069.07,0.692
UGC-0122,2025-06-03,GlowTech,Food,PE,JotaMedia,mid,TikTok,Review,235838,1449.36,21.23,482.85,1953.44,135469,88998,12985,2183,2961,2986,7795,353,31650.89,0.866
UGC-0123,2025-06-04,UrbanFit,Home,CL,DaniUX,micro,TikTok,Challenge,56771,951.91,144.42,340.35,1436.68,18884,16491,2192,557,251,327,262,8,224.66,0.748
UGC-0124,2025-06-05,NovaSkin,Home,CL,AnaCrea,micro,Instagram,UGC_Organic,118390,1036.79,146.88,331.61,1515.28,34982,24639,1424,213,155,236,431,44,1226.58,0.629
UGC-0125,2025-06-06,UrbanFit,Tech,AR,MimoStudio,nano,Instagram,UGC_Paid,17972,122.18,191.53,656.66,970.36,9500,8805,698,189,77,171,245,39,2787.74,0.781
UGC-0126,2025-06-07,BeatKitchen,Home,AR,KikeLab,micro,Instagram,Tutorial,35548,677.48,132.34,382.93,1192.76,4575,3462,168,38,31,27,230,3,141.76,0.646
UGC-0127,2025-06-08,GlowTech,Food,CL,DaniUX,micro,YouTube Shorts,UGC_Organic,94603,462.83,137.35,58.26,658.44,11977,8046,276,49,30,49,470,45,2257.96,0.968
UGC-0128,2025-06-09,NovaSkin,Fitness,MX,CataReels,nano,YouTube Shorts,Challenge,18645,159.86,230.78,165.9,556.53,7809,6798,967,244,123,243,315,27,775.46,0.69
UGC-0129,2025-06-10,CasaZen,Tech,MX,CataReels,nano,Instagram,Challenge,12419,217.92,135.89,265.96,619.76,1681,1155,288,72,38,47,70,2,138.39,0.713
UGC-0130,2025-06-11,UrbanFit,Tech,MX,JotaMedia,mid,YouTube Shorts,Tutorial,143023,2844.62,82.44,23.68,2950.74,43182,28705,982,234,148,209,646,8,438.79,0.685
UGC-0131,2025-06-12,NovaSkin,Tech,CL,ValeTrend,mid,TikTok,UGC_Paid,259482,1629.67,172.5,440.25,2242.42,75150,55307,3608,705,693,827,2483,285,25557.21,0.886
UGC-0132,2025-06-13,BeatKitchen,Tech,AR,LunaPixel,nano,YouTube Shorts,UGC_Paid,9457,107.99,32.33,894.88,1035.2,2528,1842,151,33,23,21,97,1,64.55,0.715
UGC-0133,2025-06-14,GlowTech,Fitness,PE,KikeLab,micro,TikTok,UGC_Organic,107758,1045.45,107.42,137.29,1290.16,20331,18045,2657,381,496,476,573,78,5449.51,0.706
UGC-0134,2025-06-15,GlowTech,Food,PE,MimoStudio,nano,Instagram,UGC_Organic,10754,244.51,21.46,364.95,630.92,4800,3832,359,85,77,52,101,7,451.48,0.484
UGC-0135,2025-06-16,NovaSkin,Fitness,PE,DaniUX,micro,YouTube Shorts,Tutorial,47023,629.15,31.91,560.64,1221.69,7488,5653,381,109,84,80,188,10,623.41,0.898
UGC-0136,2025-06-17,CasaZen,Home,PE,SofiLab,macro,TikTok,Challenge,929966,8505.22,95.27,116.6,8717.09,173444,132943,7152,1462,1517,1618,1851,179,2564.01,0.78
UGC-0137,2025-06-18,GlowTech,Fitness,CL,JotaMedia,mid,Instagram,UGC_Paid,238376,2346.97,97.35,1265.71,3710.03,130302,98554,8438,1491,980,1189,6465,154,14096.16,0.71
UGC-0138,2025-06-19,BeatKitchen,Beauty,AR,MaraCreator,macro,Instagram,Tutorial,1105356,9502.27,199.01,325.65,10026.93,255084,193164,17423,2404,2407,4446,6650,1233,21438.7,0.813
UGC-0139,2025-06-20,NovaSkin,Beauty,MX,MimoStudio,nano,TikTok,UGC_Organic,14957,149.85,39.37,297.99,487.22,8874,8308,350,43,35,65,348,62,1776.68,0.787
UGC-0140,2025-06-21,BeatKitchen,Fitness,PE,MimoStudio,nano,Instagram,Review,14681,237.16,212.89,345.42,795.48,5642,4927,506,99,101,145,252,5,350.51,0.552
